"no","answer","question","option1","option2","option3","option4"
"21","2","有關資本性貸款之審查要點，下列敘述何者錯誤？","(1)資本性貸款因缺乏自償性，故風險亦較大","(2)以提供擔保為原則，不需提供貸款運用計畫","(3)以中長期貸款方式辦理，並以分期攤還為原則","(4)因貸款期限較長，故利率之訂定宜採機動利率方式"
"22","1","企業授信戶之淨值未達其資本額多少時，應徵提股東會具體改善財務結構計畫之決議錄？","(1)二分之一","(2)三分之一","(3)三分之二","(4)四分之三"
"23","3","下列何者非屬因企業臨時或季節需要，得申貸臨時性週轉金貸款項目？","(1)因物價變動，單位產量成本增加","(2)因景氣變動，產銷增加","(3)原設備產量不敷需求，增購機器設備","(4)因完納稅負或發放公司股利"
"24","2","該動產所擔保敘貸之授信已全部清償時，動產抵押權之塗銷係授權何者核定？","(1)原審核層級","(2)營業單位主管","(3)區域審核中心企金風管組組長","(4)區域審核中心主任"
"25","3","有關計算企業放款本金之最長展延期間規定，應以下列何一時點為起算日？","(1)該筆放款初貸時之核准日","(2)該筆放款初貸時之動撥日","(3)該筆放款初貸時核准之到期日","(4)該筆放款最近一次之年度審核日"
"26","2","依本行「企業授信審核權限準則」，申請出口押匯、進口D/A、D/P擔保提貨時之最高審核層級為何？","(1)區域審核中心主任","(2)授信管理處處長","(3)副總經理","(4)總經理"
"27","4","有關企業授信戶徵提全體董監事連保之規定，下列敘述何者錯誤?","(1)申請時應查核授信戶負責人、保證人及擔保物提供人是否受監護/輔助宣告","(2)保證人簽定保證書時，應辦理民法753-1條保證人是否為借戶董監事之身分查詢","(3)額度動撥(用)時應辦理民法753-1條保證人是否為借戶董監事之身分查詢","(4)額度動用前應徵提董(理)事會同意借款決議、授權書"
"28","3","依本行「企業授信審核權限準則」，下列何者非屬擔保授信？","(1)提供動產設定抵押權為擔保","(2)設定動產質權為擔保","(3)提供營業交易所發生且信用良好之支票為擔保","(4)移送中小企業信用保證基金承保部分"
"29","3","依本行「企業授信審核權限準則」之適用評等，下列敘述何者錯誤?","(1)未核有本行內部信用評等之政府機關及公營事業，適用1~10等","(2)申請時更新評等為13等，最近一次最終評等為14等，應以14等適用等級","(3)多戶共用額度之申請案件，得以評等最佳者為適用等級","(4)國內企業與國外聯屬企業共用授信額度，以國內企業評等為適用等級"
"30","3","依本行「辦理利害關係人授信作業準則」，下列敘述何者正確？","(1)辦理授信之職員，係指審核員","(2)主要股東指持有本行已發行股份總數5%以上者","(3)與本行法人主要股東同一對外代表人之企業，為授信實質利害關係人","(4)本行經理人係指各單位襄理級人員"
"31","2","有關保證人與本行簽訂保證書時，營業單位應辦理之查詢事項，下列敘述何者錯誤？","(1)無需辦理授信利害關係人之查詢","(2)無需辦理民法753-1條是否任職董監事之查詢","(3)無需辦理成年監護(輔助)宣告之查詢","(4)無需辦理票據信用之查詢"
"32","1","企業授信之各項約據，其立約日期與對保簽章日期之關連，下列敘述何者正確？","(1)對保日期應在立約日期之同時或立約日期之後","(2)立約日期應在對保日期之同時或對保日期之後","(3)對保日期與立約日期限在同一日","(4)立約日期在對保日期之前或之後皆可"
"33","1","有關辦理企業授信之額度短期超用，下列敘述何者錯誤？","(1)在不超逾規定比率及限額內，營業單位主管得以增加額度之方式預為核定","(2)自核准日起至下一次年度審核日之間，額度短期超用僅能適用一次","(3)額度短期超用期間屆至，應回復為原准額度金額","(4)應確認所徵提之契約金額足夠其短期超用額度金額，始得辦理"
"34","2","下列何者為企業申請時應併附最近一次授信戶實地訪談紀錄及單位主管評估報告之企業授信審核層級為何？","(1)副總經理權限","(2)(常務)董事會權限","(3)授信管理處處長權限","(4)區域審核中心主任權限"
"35","3","企業授信案有關申請展延年度審核日之規定，下列敘述何者錯誤？","(1)展延以一次為限","(2)展延期間最長不得超過3個月","(3)展延經同意後，下次年度審核日應依展延期間重新訂定","(4)展延之申請，須於原訂定年度審核到期日10天以前提出申請"
"36","3","現放中企業授信案，擬申請適用輕微變更事項之到期延長貸放期間規定，須符合下列何項條件？","(1)不超過原核准期限1/2，且不超過3個月","(2)不超過原核准期限1/2，且不超過4個月","(3)不超過原核准期限1/3，且不超過3個月","(4)不超過原核准期限1/3，且不超過4個月"
"37","2","有關對企業授信戶及保證人徵提授信約定書之徵提方式，下列敘述何者正確？","(1)借款人及保證人，共同簽訂一份","(2)借款人及保證人，一人一份個別簽訂","(3)借款人簽一份，保證人共同簽一份","(4)僅借款人簽一份，保證人不需簽訂"
"38","3","依本行「辦理銀行法第72條之2限額管理作業程序」規定，下列敘述何者正確？","(1)承作比率達27%時，為緊急時點","(2)管理方式分為預警機制及緊急機制","(3)承作比率達28.5%(含)時，啟動預警機制","(4)法規限定之承作比率為40%"
"39","1","有關應徵提之常用債權憑證，下列敘述何者正確？","(1)授信約定書係從屬債權憑證","(2)保證書每5年重新徵提一次","(3)綜合授信契約係供資本性貸款用","(4)展期時，得僅由借款人填寫同意書並親簽蓋章"
"40","3","有關一般授信之成年監護制度規定，下列敘述何者正確？","(1)查詢時點為授信簽約時","(2)經查有受監護/輔助宣告時，續依正常程序進行","(3)查詢對象包括借款人、負責人、保證人及擔保物提供人","(4)查詢時點為授信動撥時"
"41","3","辦理企業授信時，倘保證人簽訂之保證書已屆3年者，授權營業單位主管於重簽之期間未逾多久期限內，經確認保證人仍具適格性後，得先行動用額度？","(1)1個月","(2)3個月","(3)6個月","(4)1年"
"42","1","有關企業額度動撥(用)時，營業單位應辦理之查詢事項，下列敘述何者錯誤？","(1)對保證人辦理成年監護(輔助)宣告之查詢","(2)對保證人辦理民法第753-1條是否任職董監事之查詢","(3)對授信戶辦理「客戶信用貶落通告系統」之查詢","(4)依本行「利害關係人資料查詢作業細則」對授信戶辦理利害關係人之查詢"
"43","2","依國內營業單位主管授信核定權限，有關配合設置「授信小組」之規定，下列敘述何者錯誤？","(1)成員包含單位主管、前台主管、授信支援主管、企/個金AO、數位金融專員","(2)單位主管核定案件前，應召開小組會議(扣除休假者，至少5位(含)以上成員參與開會)共同討論案件，並做成會議紀錄，出席成員蓋章留存","(3)與成員本身具有利害關係之案件該成員應予迴避；與單位主管有利害關係者，該案件改呈區域審核中心主任核定","(4)單位主管請假期間，遇案件有時效性，可由其職務代理人召開授信小組會議討論並核定"
"44","4","依本行「國內營業單位主管授信審核權限辦法」規定，下列何者係屬企業授信得授權之「擔保授信範圍」？","(1)提供股票設定質權為擔保","(2)提供機器設備設定抵押權為擔保","(3)提供營業交易所發生且信用良好之本票為擔保辦理貼現","(4)移送中小企業信用保證基金保證8成，其獲承保部分"
"45","1","下列何者非屬國內營業單位主管授信審核權限之「特定授權事項」？","(1)客戶申請光票買入美金5千元","(2)客戶提供本行定期存單新臺幣5百萬元辦理質借","(3)客戶申請全額結匯開發國外遠期信用狀美金5千萬元","(4)客戶提供本行十足定存單為擔保申請履約保證新臺幣5億元"
"46","2","依本行「客戶端衍生性金融商品額度管理作業規範」，下列何者不適用執行停損門檻之管制措拖？","(1)外幣間遠期外匯交易","(2)新臺幣與外幣間遠期外匯交易","(3)新臺幣與外幣間外匯換匯交易","(4)無本金交割之美元對人民幣遠期外匯交易"
"47","1","依本行「與客戶間從事衍生性金融商品信用風險額度管理準則」，下列何者為風險額度之控管指標？","(1)額度使用率及市價評估損失淨額","(2)額度使用率及市價評估損失率","(3)市價評估損失率及市價評估損失淨額","(4)額度使用率及市價評估損失總額"
"48","3","申請企業展延年度審核日，最遲須於原訂定年度審核日多久前提出申請並送達審核單位？","(1)1個月","(2)15天","(3)10天","(4)7天"
"49","2","企業授信額度短期超用自年度核准日起至下一次年度審核日間僅能適用幾次？期間最長多久？","(1)1次、1個月","(2)1次、3個月","(3)2次、3個月","(4)2次、6個月"
"50","2","分行接獲審核單位通知查明企業戶逾期未辦理年審原因時，應於文到後多久回復？","(1)5個營業日","(2)3個營業日","(3)7日","(4)5日"
"51","1","辦理企業授信申請時，所稱「貸放期間」係指下列何者？","(1)每一筆授信之放款期間","(2)授信額度得動用之起訖期間","(3)約定一段僅繳息不還本之期間","(4)本次年度審核至下次年度審核之期間"
"52","2","有關企業授信展延年度審核日之規定，下列敘述何者錯誤？","(1)應提出申請並獲審核單位同意後始得展延","(2)展延之期間，最長不得超過4個月","(3)原准年度審核日到期後，仍可繼續動用至核准展延之末日","(4)1年度內僅能申請展延1次"
"53","2","有關本行利害關係人資料查詢作業，下列敘述何者錯誤？","(1)辦理授信利害關係人資料查詢時，查詢對象為授信戶","(2)辦理授信利害關係人資料查詢時，查詢對象為授信戶及保證人","(3)企業授信戶為分公司時，查詢對象應包括其總公司","(4)授信業務查詢時點包括授信申請、核准、簽約及動撥時"
"54","2","A公司目前於本行無增貸或條件變更需求，惟授信案有下列何種情形時，仍須依規辦理年度審核？","(1)國內營業單位授信戶僅餘非土、建融之中期週轉金擔保放款科目","(2)僅餘土地融資中期擔保放款","(3)僅餘國內分期攤還之長期資本性支出擔保放款","(4)授信戶已停業、歇業或依法訴追"
"55","3","依本行「集團企業授信限額管理準則」規定，下列何者非屬「集團分子企業」之定義範圍？","(1)經本行認定應歸屬為集團企業者","(2)企業間接控制他企業之業務經營者","(3)企業持有他企業已發行有表決權之股份總數達1/3以上者","(4)企業與他企業相互投資各達對方資本總額1/3以上者"
"56","2","依本行「集團企業授信限額管理準則」規定，集團各分子企業在本行總授信額度合計達新臺幣多少金額以上，應辦理集團授信限額之報核？","(1)10億元","(2)20億元","(3)30億元","(4)50億元"
"57","4","依本行「集團企業授信限額管理準則」規定，下列敘述何者正確？","(1)集團各分子企業在本行授信總額度合計達10億元時，應辦理集團授信限額之報核","(2)集團分子企業應於每次動撥時辦理授信餘額查核，確保集團授信總餘額不超逾限額","(3)個別集團企業擬申請超逾該集團最終等級限額比率時，應提請董事會核准","(4)辦理集團限額報核時，除分子企業屬本行利害關係人另有規定外，應提請常務董事會核准"
"58","1","住宅投保火險金額，係依投保火災保險及地震基本保險建築造價參考表之何種金額計算？","(1)建築物本體造價總額","(2)建築物裝潢總價","(3)擔保品鑑估總額","(4)擔保品鑑估淨額"
"59","2","辦理企業授信申請時，本行不得收受之擔保品為何？","(1)本行定存單","(2)本行發行之金融債券","(3)指數股票型證券投資信託基金","(4)不動產證券化受益證券"
"60","3","動產抵押權設定登記申請延長有效登記期間，應於有效期間屆滿前幾天內申請？","(1)10天","(2)20天","(3)30天","(4)40天"
"61","2","除各項貸款另有規定外，營業單位對不動產及動產擔保品，應定期於多久時間內查看保管、保養及使用情形？","(1)無需查核","(2)至少每年1次","(3)至少每3年1次","(4)授信條件變更或增貸時"
"62","4","有關債券之鑑估作業，下列敘述何者錯誤？","(1)上市債券按面額與市價孰低估價","(2)公司債以經金融機構保證發行為原則","(3)未上市債券票面利率高於估價時之同級債券發行利率者，按票面值估價","(4)貸放值最高以估值之80%為原則"
"63","3","不動產擔保品之設定金額，原則上應按放款值加計幾成辦理？","(1)4成","(2)3成","(3)2成","(4)1成"
"64","4","動產抵押權設定登記有效期間，應以該案貸放期間加計多久期間以上為原則？","(1)6個月","(2)3年","(3)2年","(4)1年"
"65","1","辦理存摺存款設定質權時，下列何者非本行授信擔保品之應徵提文件？","(1)實行質權通知書","(2)擔保物提供證","(3)質權□設定□變更設定通知書","(4)存款存摺"
"66","1","對債務人或第三人不移轉占有而供擔保之不動產，得就其賣得價金優先受償之權利稱之為？","(1)抵押權","(2)地上權","(3)地役權","(4)留置權"
"67","1","依本行「擔保品處理作業規範」，擔保品有何種情形時，屬「不得收受之擔保品」？","(1)未滿7歲無行為能力人之財產","(2)土地經他人設定不動產役權(原地役權)、農育權(原永佃權)及地上權等他項權利者","(3)容易受自然災害(例如：風災、水災、旱災侵襲者)","(4)空地無對外連絡道路者"
"68","2","借戶提供住宅為擔保之貸款，該住宅依規定應投保何種保險？","(1)水險、財物損失險","(2)火險、地震險","(3)水險、火險","(4)火險、財物損失險"
"69","4","辦理授信申請時，下列何者不須辦理不動產擔保品重新鑑估作業？","(1)增貸","(2)借新還舊","(3)展期","(4)約定本金攤還之中長期放款辦理年度審核"
"70","2","將土地與建物混合估價，並以房地混合整棟價格為計算基礎之估價方法，稱之為何？","(1)一般估價法","(2)總時價估價法","(3)建坪估價法","(4)特定時價法"
"71","4","設定動產抵押權應辦理下列何種手續，銀行始能合法有效對抗善意第三人？","(1)僅在借款契約上約定","(2)借款人對債權銀行有承諾即可","(3)借款人與債權銀行簽訂書面契約，載明雙方權利義務關係即可","(4)借款人與債權銀行以書面訂立契約，並向登記機關辦妥登記"
"72","4","有關本行對於機器設備之鑑估規定，下列敘述何者錯誤？","(1)機器設備購置成本係進口者，以CIF加計關稅計價，但關稅辦理記帳者不得計入","(2)機器設備之貸放值最高以估價金額7成為原則","(3)機器設備以與廠房、土地一併供押為原則","(4)機器設備抵押權設定金額，原則以不低於債權本金加計1成設定"
"73","3","銀行為確保債權，關於選擇動產擔保品之條件，下列敘述何者正確？","(1)具有生產性、市場性且不易變賣者為限","(2)價格之變動較大者尤佳","(3)品質之鑑別簡單，且不易變質及損耗者","(4)以法令所明文禁止者為限"
"74","2","依本行辦理股票質押之應注意事項，下列敘述何者錯誤？","(1)授信戶提供其本公司發行之股票作為借款之擔保，不得受理","(2)非屬投資公司之企業以他公司股票為擔保作為購買股票之需，用途明確，得以受理","(3)未成年人名義股票，不得接受設質","(4)質押股票由第三人提供者，宜徵求為連帶保證人"
"75","2","依民法規定，不動產抵押權擔保之原本債權，於消滅時效完成後多久內仍得行使抵押權？","(1)10年","(2)5年","(3)3年","(4)1年"
"76","2","依民法第900條規定，以可讓與之債權及其他權利為標的物之質權，係屬下列何者？","(1)動產質權","(2)權利質權","(3)地上權","(4)地役權"
"77","4","有關不動產擔保品之規定，下列敘述何者正確？","(1)個人授信辦理跨區不動產抵押貸款，應事先報備總行核准","(2)不動產抵押權設定登記之權利存續期間最長為20年","(3)抵押權登記時，義務人為公司法人者，需檢附義務人印鑑證明","(4)貸放應留意抵押權是否超逾權利存續期限或擔保債權確定期日"
"78","3","辦理股票質押授信時，應向何人徵提「股票最高限額權利質權設定契約」？A.授信戶B.保證人C.出質人","(1)AB","(2)BC","(3)AC","(4)ABC"
"79","2","依本行「辦理股票質押授信作業規範」，未上市股票發行公司之實收資本額達新臺幣多少，始得收受？","(1)3,000萬元以上","(2)5,000萬元以上","(3)6,000萬元以上","(4)1億元以上"
"80","3","依本行「辦理股票質押授信作業規範」，有關維持率之計算公式，下列敘述何者正確？","(1)維持率＝（質押股票股數/發行公司總股數）×100％","(2)維持率＝（質押股票總市值/質押股票原始總鑑估值）×100％","(3)維持率＝（質押股票總市值/貸放餘額）×100％","(4)維持率＝（質押股票總市值/核准額度總額）×100％"
"81","4","以上市股票質押授信，當維持率低於標準維持率之警示天數達多久者，即為警示門檻？","(1)次日","(2)連續達2個營業日","(3)累積達3個營業日","(4)連續達3個營業日"
"82","4","授信戶尚未動用已核准股票質押授信額度，擬申請已提供設定股票解質時，由何層級核定？","(1)授信管理處處長","(2)區域審核中心主任","(3)區營運處處長","(4)營業單位主管"
"83","4","金融控股公司向本行申請授信且提供下列何者為擔保時，應以無擔保授信辦理？","(1)不動產","(2)存單設質","(3)政府公債","(4)該金融控股公司之子公司股票"
"84","4","依本行「特定金錢信託受益權質借授信作業規範」，下列敘述何者正確？","(1)新臺幣受益權得貸放除人民幣以外之外幣","(2)僅得收受台灣銀行銷售之受益權","(3)得收受第三人提供之受益權","(4)不得收受仍於閉鎖期之受益權"
"85","2","有關最高限額抵押權之規定及特性，下列敘述何者錯誤？","(1)最高限額抵押權之成立，不必以先有債權存在為必要","(2)擔保債權確定期日屆期，最高限額抵押權所擔保債權金額仍不確定","(3)原債權、利息、遲延利息、違約金僅得於抵押權約定最高限額範圍內行使其權利","(4)最高限額抵押權是抵押權從屬性之例外"
"86","1","依本行不動產鑑估規則，下列何種鑑估方法之建物估價額應扣除折舊額？","(1)一般估價法","(2)建坪估價法","(3)總時價估價法","(4)法拍屋專案貸款估價法"
"87","2","有關本行授信擔保品之處理及注意事項，下列敘述何者錯誤？","(1)不動產及動產擔保品應每年至少查看1次並作成紀錄","(2)信託占有物應作不定期查核，至少1年查核1次","(3)不動產抵押權於消滅時效完成後，5年間不行使抵押權，其抵押權消滅","(4)利息請求權時效為5年，若消滅時效完成，即無法對抵押物取償"
"88","2","有關辦理權利質權之規定，下列敘述何者錯誤？","(1)權利質權之標的物包括銀行存單、倉單、股票、受益憑證、債券、存摺存款","(2)銀行存單之申請質借人不限原存款人，惟限於開發存單之銀行辦理","(3)以無記名證券為標的物，因交付其證券於質權人而生質權設定之效力","(4)以經金融機構保證發行公司債辦理質押，免辦徵信及免具保證人"
"89","3","以機器設備為擔保品之規定，下列何者錯誤？","(1)舊品重估應按原購置成本減去攤提折舊額核估","(2)已辦理信託占有登記之機器，不得為擔保品","(3)財務租賃取得之機器，得為本行擔保品","(4)擔保品按其購置成本或授信金額投保適當之保險，並以本行為受益人"
"90","3","以機器為擔保品時，其貸放值最高為估價金額之多少？","(1)0.5","(2)0.6","(3)0.7","(4)0.8"
"91","3","不宜收受之擔保品，因個案特殊情形，擬以擔保授信方式承作，須經何者核准後始得辦理？","(1)區營運處作業資訊組組長","(2)區域審核中心主任","(3)區營運處處長","(4)總經理"
"92","4","不動產之貸放成數擬超逾分區貸放成數時，需呈請何者核准後始得辦理？","(1)區營運處之作業資訊組組長","(2)區域審核中心主任","(3)授信管理處之處長","(4)總經理"
"93","1","下列何者非屬不得收受之擔保品？","(1)屬禁建、限建、洩洪地區之土地及建物","(2)未滿7歲無行為能力人之財產","(3)祭祀公業所有之不動產","(4)本行所發行之股票"
"94","1","有關本行授信不得收受之擔保品，下列敘述何者正確？","(1)企業授信借戶以其本公司發行之股票辦理質押","(2)以空地為擔保，該空地無對外連絡道路或連外道路無法通行汽車","(3)建築物之基地單獨提供為擔保，而建物不能提供設定抵押權","(4)屬禁建、限建、洩洪地區之土地及建物"
"95","3","依本行「辦理股票質押授信作業規範」，下列敘述何者錯誤？","(1)對金融控股公司辦理授信且徵提其子公司股票設質為擔保品，非屬銀行法第12條之擔保授信","(2)承作集團企業以其集團子公司股票為擔保之授信，資金用途應以短期週轉目的為限","(3)股票由第三人提供時，宜將擔保物提供人徵求為連帶保證人，授信戶為自然人時亦同，一律徵求為連帶保證人","(4)辦理股票質押授信時，應向授信戶及出質人徵提「最高限額權利質權設定契約書」"
"96","2","以擔保信用狀為保證借款，其放款借據到期日，不得遲於該信用狀有效期限屆滿前多久？","(1)1星期","(2)2星期","(3)3星期","(4)1個月"
"97","2","不動產抵押權設定之效力與規則，下列敘述何者正確？","(1)未保存登記建物不具獨立出入口而附著於已保存登記之房屋，不為抵押權效力所及","(2)未保存登記建物具獨立出入口，於設定抵押權後增建，得聲請併付拍賣，惟無優先受償權","(3)不動產於設定地上權後，不得再設定抵押權","(4)共同債務人兼義務人貸款，借款人之任一人債務未全數清償，另一人得申請抵押權部份塗銷"
"98","4","辦理不動產擔保品建物火險、地震險之投保，下列敘述何者錯誤？","(1)住宅投保火險時，原則上按「建築物本體造價總額」金額投保","(2)非住宅投保火險時，原則上按「建築物本體造價總額」扣減折舊後之金額投保","(3)住宅之投保，若有兩個門牌號碼打通為一戶者，則須投保兩張保單","(4)非住宅之投保，除投保火險外，應依規定附加地震基本保險"
"99","1","申請不動產授信往來擔保品建物之投保，應以下列何者為保單受益人？","(1)本行","(2)借款人","(3)擔保物提供人","(4)由借款人指定"
"100","2","「工業區土地」之擔保品，擬個案申請貸放成數免扣減5%者，須經何者核准後始得辦理？","(1)區域審核中心主任","(2)區營運處處長","(3)授信管理處處長","(4)總經理"
"101","4","依本行「特定金錢信託受益權質借授信作業規範」，有關維持率之監控，下列敘述何者錯誤？","(1)維持率＝(質借受益權總市值/貸放餘額)×100％","(2)標準維持率：倘貸放成數≦4成，維持率＞240%","(3)追繳門檻：倘貸放成數≦4成，維持率＜220%","(4)處分門檻：維持率＜140%"
"102","3","依本行「特定金錢信託受益權質借授信作業規範」，有關維持率達「追繳門檻」之規定，下列敘述何者錯誤？","(1)應以限時雙掛號寄發「補繳通知書」通知借款人","(2)應請借款人償還部分授信或追加設定受益權等，使維持率回升至標準維持率以上","(3)倘經評估暫不執行處分措施者，應經原審核層級之上一層級核定後辦理","(4)倘經評估暫不執行處分措施者，如原審核層級為(常務)董事會，授權總經理核定後辦理"
"103","1","依本行「擔保品處理作業規範」，有關應委託外部專業鑑價機構或具有專門技術機構辦理鑑價之規定，下列敘述何者錯誤?","(1)本行參貸之聯合貸款案件","(2)本行主辦之聯合貸款案件","(3)特殊類別之擔保品需專技術鑑估者","(4)新貸擔保額度超逾新臺幣10億元，且無法取得擔保品鑑價參考佐證資料"
"104","2","授信案件之新貸擔保額度超逾新臺幣金額多少以上，且無法取得擔保品鑑價參考佐證資料，應委外辦理鑑價？","(1)1億元","(2)10億元","(3)20億元","(4)30億元"
"105","3","有關以存單為權利質權之估價及貸放值，下列何者錯誤?","(1)以外幣存單貸放值最高以存單金額之90%","(2)以台幣存單貸放值最高以存單金額之100%","(3)存單質借限提供本行存單為質，惟不限於開發存單之分行辦理","(4)質押存單以面額為鑑價標準，免經區域中心辦理鑑估作業"
"106","3","依本行「擔保品處理作業規範」之不動產鑑估分區貸放成數扣減規則，下列敘述何者錯誤？","(1)單獨提供地下室者，成數應減10%","(2)建物已逾耐用年限者，成數應減5%","(3)非市土地之擔保品，成數應減10%","(4)單獨提供停車位者，成數應減10%"
"107","1","依本行「擔保品處理作業規範」之「工業區土地」之擔保品貸放成數免扣5%相關規定，下列敘述何者錯誤？","(1)應先向所屬區域審核中心主任提出申請","(2)應填具「工業區土地鑑估貸放值確認申請書」且限內部信評最近一次最終評等優於15(含)等以上者","(3)劣於15等者，須依規於鑑估時扣減5%，就擬申請免扣減事項，轉請上一授信審核層級核定，惟屬副總經理(含)以上權限案件，由原審核層級個案核定","(4)前已核准貸放成數免扣減5%者，倘授信戶評等優於15等(含)且擔保品情況未變更，於辦理條件變更或年度審核續請額度時，得免再申請核准"
"108","1","申請授信科目涉及所徵提之擔保不動產，應辦理不動產重新鑑估作業之適用規則，不含下列何者?","(1)房貸展延寬限期","(2)增貸","(3)循用額度屆期續請","(4)房貸展延借款到期日"
"109","1","動產設定登記自登記之日起有效期間為一年，期滿前幾日內，債權人得申請延長期限?","(1)30日","(2)60日","(3)3個月","(4)4個月"
"110","2","本行不動產擔保品之使用地類別屬「甲、乙、丁建築用地」得由何層級個案核准後，免扣減5%分區貸放成數?","(1)營業單位主管","(2)區營運處處長","(3)區域中心主任","(4)授信管理處處長"
